game,language,edges,change
alquerque,hrg,297.0,52.33
alquerque,rbg,2679.0,508.25
alquerque_bad,rbg,1647.0,429.67
alquerque_lud,rbg,,194.12
alquerque_split,rbg,2269.0,580.51
amazons,hrg,948.0,44.63
amazons,rbg,961.0,280.43
amazons_split2,hrg,950.0,19.62
amazons_split2,rbg,993.0,135.86
amazons_split2a,rbg,2757.0,226.55
amazons_split3,rbg,1044.0,113.34
amazons_split5,rbg,1388.0,74.07
amazons_split5plus,rbg,2076.0,97.23
ataxx,hrg,245.0,23.27
backgammon,hrg,6769.0,117.95
battleships,hrg,341.0,6.45
bombardment,hrg,54.0,13.09
breakthrough,hrg,43.0,21.0
breakthrough,rbg,223.0,260.37
breakthrough_10x10,rbg,223.0,245.5
breakthrough_11x11,rbg,223.0,236.62
breakthrough_12x12,rbg,223.0,228.71
breakthrough_5x5,rbg,223.0,232.61
breakthrough_6x6,rbg,223.0,238.1
breakthrough_7x7,rbg,223.0,248.28
breakthrough_9x9,rbg,223.0,274.14
breakthrough_split,rbg,291.0,116.32
breakthru,rbg,1023.0,100.0
breakthru_split,rbg,1023.0,64.29
canadianDraughts,rbg,4417.0,81.25
chess,hrg,3223.0,65.62
chess,rbg,4011.0,50.0
chessCylinder,rbg,4011.0,30.0
chessCylinder_kingCapture,rbg,2201.0,39.23
chessGardner5x5_kingCapture,rbg,2201.0,41.33
chessLosAlamos6x6_kingCapture,rbg,1325.0,33.99
chessQuick5x6_kingCapture,rbg,1681.0,39.98
chessSilverman4x5_kingCapture,rbg,1177.0,39.94
chess_200,rbg,3833.0,36.84
chess_kingCapture,hrg,1558.0,48.83
chess_kingCapture,rbg,2201.0,37.88
chess_kingCapture_200,rbg,2077.0,25.68
chineseCheckers6,rbg,2879.0,103.03
clobber,hrg,51.0,8.18
connect4,hrg,104.0,12.83
connect4,kif,1877.0,37.85
connect4,rbg,404.0,285.88
connect6_split,rbg,502.0,1766.67
dashGuti,rbg,2679.0,546.6
diceThrowCompare,hrg,14.0,0.73
diceThrowGuess,hrg,10.0,2.14
dotsAndBoxes,hrg,59.0,1.27
doubleChess,rbg,4409.0,0.0
englishDraughts,hrg,218.0,131.9
englishDraughts,rbg,1939.0,165.21
englishDraughts_lud,rbg,,155.58
englishDraughts_split,rbg,2121.0,175.36
foxAndGeese,hrg,256.0,18.13
foxAndGeese_lud,hrg,,17.31
foxAndHounds,rbg,227.0,140.01
foxAndHounds-10x10,rbg,227.0,120.81
foxAndHounds-12x12,rbg,227.0,108.14
golSkuish,rbg,2679.0,499.35
gomoku_freeStyle,hrg,291.0,19.5
gomoku_freeStyle,rbg,321.0,1832.14
gomoku_standard,hrg,363.0,14.37
gomoku_standard,rbg,409.0,2404.76
gomoku_standard_11x11,rbg,409.0,2018.06
gomoku_standard_13x13,rbg,409.0,2165.79
hex,rbg,251.0,3905.26
hex_10x10,rbg,251.0,3215.62
hex_5x5,rbg,251.0,1892.99
hex_6x6,rbg,251.0,2241.42
hex_7x7,rbg,251.0,2573.81
hex_8x8,rbg,251.0,2825.0
hex_9x9,rbg,251.0,3292.0
internationalDraughts,rbg,4417.0,67.31
knightthrough,hrg,45.0,21.17
knightthrough,rbg,183.0,68.97
knightthrough_split,rbg,231.0,27.93
lauKataKati,rbg,2679.0,542.65
montyHall,kif,215.0,59.81
oware,hrg,665.0,32.09
paperSoccer,rbg,2685.0,33.33
pentago,hrg,3593.0,17.62
pentago,rbg,,2428.57
pentago_split,hrg,1839.0,13.41
pentago_split,rbg,,1783.48
pretwa,rbg,2679.0,337.04
reversi,rbg,,236.73
reversi_10x10,rbg,,269.7
reversi_4x4,rbg,,179.85
reversi_6x6,rbg,,213.95
satSolver,hrg,33.0,15.94
skirmish,rbg,2131.0,24.14
surakarta,rbg,1462.0,
theMillGame,rbg,2563.0,673.3
theMillGame_lud,rbg,,348.4
theMillGame_split,rbg,2553.0,373.33
ticTacDie,hrg,85.0,24.51
ticTacToe,hrg,63.0,6.92
ticTacToe,kif,733.0,55.93
ticTacToe,rbg,265.0,848.36
turingMachine,hrg,86.0,78.73
twentyOne,hrg,45.0,1.64
ultimateTicTacToe,hrg,185.0,13.47
yavalath,rbg,413.0,1411.33
